Rank,Company,RevenueMil,RevenuePerCng,ProfitsMil,ProfitsPerCng,AssetsMil,EmployeeCount,RankCng,YearsOnList,Hqcity,HqCountry,IndustrySector
157,Jiangxi Copper,78243,0.04,371,-0.2,31154,32746,14,12,Nanchang,China,"Mining, Crude-Oil Production"
158,People's Insurance Co. of China,78182,-0.15,3153,-0.13,219319,175881,-38,15,Beijing,China,Insurance: Property and Casualty (Stock)
159,Boeing,77794,0.17,-2222,,137012,171000,38,30,Arlington,United States,Aerospace & Defense
160,China North Industries Group,76507,-0.08,1933,0.08,78675,216528,-14,15,Beijing,China,Aerospace & Defense
161,Pacific Construction Group,76433,-0.04,5035,-0.03,59040,293125,-4,11,Nanjing,China,Engineering & Construction
162,Kia,76419,0.14,6720,0.6,62241,52871,34,13,Seoul,South Korea,Motor Vehicles & Parts
163,Sysco,76325,0.11,1770,0.3,22821,71750,23,30,Houston,United States,Wholesalers: Food
164,Dai-ichi Life Holdings,76305,0.09,2219,0.56,446636,59495,18,30,Tokyo,Japan,Life and Health Insurance
165,Pertamina,75788,-0.11,4441,0.17,91124,40415,-24,11,Jakarta,Indonesia,Petroleum Refining
166,Vinci,75551,0.15,5083,0.14,130945,279426,36,24,Rueil-Malmaison,France,Engineering & Construction
167,Petronas,75410,-0.12,16320,-0.22,168475,54105,-28,28,Kuala Lumpur,Malaysia,"Mining, Crude-Oil Production"
168,Toronto-Dominion Bank,75063,0.54,7996,-0.41,1410163,103257,126,25,Toronto,Canada,Commercial Banks
169,Lukoil,75013,,13552,,95935,107596,,24,Moscow,Russia,"Mining, Crude-Oil Production"
170,Shaanxi Coal & Chemical Industry,74777,-0.01,1114,-0.2,100858,140142,-1,10,Xi'an,China,"Mining, Crude-Oil Production"
171,Shenghong Holding Group,74701,0.22,549,0.28,31762,56863,51,5,Suzhou,China,Industrials
172,BASF,74487,-0.19,243,,85482,111991,-53,30,Ludwigshafen,Germany,Chemicals
173,China Poly Group,73999,0.09,988,-0.23,254161,102834,18,10,Beijing,China,Diversified Financials
174,Groupe BPCE,73775,0.55,3031,-0.27,1705477,97835,126,15,Paris,France,Commercial Banks
175,Shandong Weiqiao Pioneering Group,73485,-0.02,1192,0.28,39326,97281,-3,13,Binzhou,China,Materials
176,JBS,72863,0,-213,-1.07,42483,272565,1,15,São Paulo,Brazil,Food Production
177,Alimentation Couche-Tard,71857,0.14,3091,0.15,29049,128000,37,11,Laval,Canada,Food & Drug Stores
178,State Bank of India,71844,0.22,8106,0.17,807979,232296,57,19,Mumbai,India,Commercial Banks
179,China Merchants Bank,71515,-0.01,20709,0.01,1553789,116529,,13,Shenzhen,China,Commercial Banks
180,Oil & Natural Gas,71466,-0.09,5948,0.35,85215,36549,-22,18,New Delhi,India,"Mining, Crude-Oil Production"
181,Guangzhou Automobile Industry Group,71386,-0.08,345,-0.45,59259,110847,-16,12,Guangzhou,China,Motor Vehicles & Parts
182,UBS Group,71245,0.66,27849,2.65,1717246,112842,165,30,Zurich,Switzerland,Commercial Banks
183,Airbus,70751,0.15,4096,-0.08,131291,147893,36,30,Leiden,Netherlands,Aerospace & Defense
184,Toyota Tsusho,70498,-0.03,2293,0.09,46687,69517,-8,16,Nagoya,Japan,Trading
185,Zhejiang Geely Holding Group,70357,0.17,813,-0.14,94120,143994,40,13,Hangzhou,China,Motor Vehicles & Parts
186,Taiwan Semiconductor Manufacturing,69416,-0.09,27350,-0.18,180508,76478,-18,10,Hsinchu,Taiwan,Semiconductors and Other Electronic Components
187,XMXYG,69287,-0.17,15,-0.95,46717,33214,-45,7,Xiamen,China,Trading
188,RTX,68920,0.03,3195,-0.39,161869,185000,7,30,Waltham,United States,Aerospace & Defense
189,Itau Unibanco Holding,68455,0.2,6630,0.15,524124,95702,18,11,São Paulo,Brazil,Commercial Banks
190,ArcelorMittal,68275,-0.15,919,-0.9,93917,126756,-35,20,Luxembourg City,Luxembourg,Materials
191,General Electric,67954,-0.11,9481,41.14,163045,125000,-24,30,Fairfield,United States,Diversified Financials
192,Beijing Automotive Group,67852,0.01,328,0.11,65757,90000,1,12,Beijing,China,Motor Vehicles & Parts
193,Lockheed Martin,67571,0.02,6920,0.21,52456,122000,6,30,Bethesda,United States,Aerospace & Defense
194,Koc Holding,67483,0.24,3038,-0.28,96812,119306,65,23,Istanbul,Turkey,Diversified
195,American Express,67364,0.21,8374,0.12,261108,74600,58,30,New York,United States,Commercial Banks
