"country_region_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"NG","2021-02-11",-4.36111111111111,5.44444444444444,-11.0555555555556,9.47222222222222,-18.3333333333333,8.63888888888889
"US","2021-02-11",-23.6887417218543,-10.2649006622517,-28.2864238410596,-30.0082781456954,-31.682119205298,12.5033112582781
"ZA","2021-02-11",-15,-0.5,-31.3,-31.1,-23.2,11.7
"AU","2021-02-12",-4.87142857142857,6.84285714285714,-4.50714285714286,-28.4714285714286,-8.86428571428571,3.40714285714286
"BR","2021-02-12",-17.3172043010753,13.9838709677419,-31.5591397849462,-14.8575268817204,-0.908602150537634,5.12903225806452
"GB","2021-02-12",-56.2507042253521,-9.45352112676056,-7.43943661971831,-56.6929577464789,-47.2169014084507,20.0732394366197
"IN","2021-02-12",-14.4612736660929,27.0843373493976,-8.77280550774527,-3.09294320137694,-8.5697074010327,7.48881239242685
"IT","2021-02-12",-30.3492063492063,2.11904761904762,-23.7857142857143,-35.1031746031746,-22.2460317460317,9.40476190476191
"NG","2021-02-12",-5.8780487804878,4.29268292682927,-12.0975609756098,7.1219512195122,-16.6585365853659,7.17073170731707
"US","2021-02-12",-22.2964743589744,-7.60576923076923,-28.0320512820513,-28.5833333333333,-30.7403846153846,12.4150641025641
"ZA","2021-02-12",-18.2,-5.4,-35,-26.1,-21.7,11.8
"AU","2021-02-13",-16.7751937984496,-0.550387596899225,-19.4883720930233,-43.1937984496124,-13.1705426356589,8.26356589147287
"BR","2021-02-13",-19.2335958005249,14.4435695538058,-28.3333333333333,-17.2677165354331,-0.918635170603675,4.62729658792651
"GB","2021-02-13",-61.0804289544236,-8.16890080428954,-20.3565683646113,-61.230563002681,-30.3378016085791,13.7506702412869
"IN","2021-02-13",-14.0946643717728,25.7039586919105,-5.08777969018933,-4.2512908777969,-12.7641996557659,7.74010327022375
"IT","2021-02-13",-39.3650793650794,-9.04761904761905,-31.5634920634921,-43.484126984127,-25.6984126984127,11.1111111111111
"NG","2021-02-13",-3.85,5.25,-12.525,7,-11.775,5.725
"US","2021-02-13",-22.6107491856678,-2.88599348534202,-29.6742671009772,-28.3273615635179,-15.3306188925081,7.58469055374593
"ZA","2021-02-13",-16.6666666666667,-1.55555555555556,-33,-28.1111111111111,-8.22222222222222,9.55555555555556
"AU","2021-02-14",-12.9565217391304,-1.74782608695652,4.69565217391304,-39.695652173913,-12.2,6.29565217391304
"BR","2021-02-14",-25.3205882352941,10.7588235294118,-21.1470588235294,-28.4441176470588,0.288235294117647,5.77352941176471
"GB","2021-02-14",-63.5722543352601,-19.8265895953757,-24.0982658959538,-60.7832369942197,-29.6473988439306,11.3843930635838
"IN","2021-02-14",-11.1076388888889,26.640625,2.21527777777778,-0.435763888888889,-9.11805555555556,6.328125
"IT","2021-02-14",-44.896,-28.872,-15.216,-42.4,-21.28,9.4
"NG","2021-02-14",5.12121212121212,8.24242424242424,-9.06060606060606,2.66666666666667,-12.5454545454545,5.63636363636364
"US","2021-02-14",-21.8829604130809,-8.72461273666093,-31.104991394148,-32.433734939759,-18.8089500860585,7.05679862306368
"ZA","2021-02-14",-10,1.11111111111111,-32.2222222222222,-33.8888888888889,-10,9.77777777777778
"AU","2021-02-15",-19.35,-2.62142857142857,-12.3071428571429,-36.5785714285714,-15.3357142857143,8.41428571428571
"BR","2021-02-15",-22.2676470588235,6.28235294117647,-17.1352941176471,-27.2352941176471,-22.8970588235294,8.48529411764706
"GB","2021-02-15",-49.1132075471698,-14.6446540880503,25.7106918238994,-54.4025157232704,-52.3867924528302,18.4119496855346
"IN","2021-02-15",-12.4723183391003,28.9584775086505,-2.24913494809689,-1.13321799307958,-13.7612456747405,6.42387543252595
"IT","2021-02-15",-29.2460317460317,-5.69047619047619,-7.04761904761905,-37.031746031746,-26.6428571428571,9.64285714285714
"NG","2021-02-15",-6.88888888888889,4,-13.5,5.88888888888889,-17.7222222222222,8.27777777777778
"US","2021-02-15",-31.4671052631579,-19.8141447368421,-33.0904605263158,-39.9128289473684,-50.3125,17.3059210526316
"ZA","2021-02-15",-16.6,-2.1,-39.8,-29.3,-21.7,11.1
"AU","2021-02-16",-19.7847222222222,-3.04861111111111,-19.5833333333333,-38.4513888888889,-17.9166666666667,9.31944444444444
"BR","2021-02-16",-29.9824561403509,-2.96198830409357,-17.6900584795322,-29.2456140350877,-28.9385964912281,9.54385964912281
"GB","2021-02-16",-51.4939393939394,-11.4030303030303,11.7909090909091,-55.2484848484848,-52.1636363636364,19.3
"IN","2021-02-16",-13.5372616984402,23.4280762564991,-1.12305025996534,-1.40207972270364,-19.8058925476603,6.72790294627383
"IT","2021-02-16",-26.8412698412698,-3.46825396825397,4.53968253968254,-34.515873015873,-26.0634920634921,9.41269841269841
"NG","2021-02-16",-6.48717948717949,3.79487179487179,-16.6410256410256,4.1025641025641,-18.1794871794872,8.74358974358974
"US","2021-02-16",-31.2395309882747,-16.9782244556114,-26.2981574539363,-37.3953098827471,-42.7721943048576,15.8324958123953
"ZA","2021-02-16",-18.4,-4.1,-40.1,-28.2,-21.4,11.8
"AU","2021-02-17",-17.8251748251748,-0.524475524475524,-17.6573426573427,-37.3566433566434,-15.5664335664336,9.27272727272727
"BR","2021-02-17",-22.5,7.98285714285714,-29.8,-17.9685714285714,-8.60285714285714,6.84
"GB","2021-02-17",-52.3450292397661,-14.6666666666667,6.84502923976608,-55.4590643274854,-51.4210526315789,19.8801169590643
